Ticker,Name
BTC-USD,Bitcoin
ETH-USD,Ethereum
XRP-USD,XRP
BNB-USD,BNB
SOL-USD,Solana
DOGE-USD,Dogecoin
ADA-USD,Cardano
TRX-USD,TRON
AVAX-USD,Avalanche
TON-USD,Toncoin
LINK-USD,Chainlink
SHIB-USD,Shiba Inu
XLM-USD,Stellar
SUI-USD,Sui
HBAR-USD,Hedera
BCH-USD,Bitcoin Cash
LTC-USD,Litecoin
DOT-USD,Polkadot
NEAR-USD,NEAR Protocol
UNI-USD,Uniswap
APT-USD,Aptos
ICP-USD,Internet Computer
PEPE-USD,Pepe
TAO-USD,Bittensor
ETC-USD,Ethereum Classic
KAS-USD,Kaspa
FIL-USD,Filecoin
RENDER-USD,Render
VET-USD,VeChain
AAVE-USD,Aave
STX-USD,Stacks
OP-USD,Optimism
ARB-USD,Arbitrum
ATOM-USD,Cosmos
MKR-USD,Maker
INJ-USD,Injective
XMR-USD,Monero
FET-USD,Artificial Superintelligence Alliance
SEI-USD,Sei
WIF-USD,dogwifhat
IMX-USD,Immutable
AR-USD,Arweave
LDO-USD,Lido DAO
BONK-USD,Bonk
RUNE-USD,THORChain
EGLD-USD,MultiversX
GRT-USD,The Graph
CRO-USD,Cronos
ALGO-USD,Algorand
GALA-USD,Gala
AXS-USD,Axie Infinity
STRK-USD,Starknet
S-USD,Sonic
MINA-USD,Mina Protocol
ZEC-USD,Zcash
JASMY-USD,JasmyCoin
FLOW-USD,Flow
ROSE-USD,Oasis Network
CFX-USD,Conflux
ZIL-USD,Zilliqa
OCEAN-USD,Ocean Protocol
CHZ-USD,Chiliz
SAND-USD,The Sandbox
MANA-USD,Decentraland
CRV-USD,Curve DAO Token
ENS-USD,Ethereum Name Service
RPL-USD,Rocket Pool
SNX-USD,Synthetix
COMP-USD,Compound
1INCH-USD,1inch Network
SUSHI-USD,SushiSwap
BAT-USD,Basic Attention Token
ANKR-USD,Ankr
ENJ-USD,Enjin Coin
CELO-USD,Celo
XTZ-USD,Tezos
ZRX-USD,0x Protocol
IOTA-USD,IOTA
SKL-USD,SKALE
KAVA-USD,Kava
BLUR-USD,Blur
WLD-USD,Worldcoin
PYTH-USD,Pyth Network
TIA-USD,Celestia
PENDLE-USD,Pendle
JUP-USD,Jupiter
JTO-USD,Jito
ONDO-USD,Ondo Finance
ORDI-USD,ORDI
ENA-USD,Ethena
W-USD,Wormhole
IO-USD,io.net
DYM-USD,Dymension
BEAM-USD,Beam
ONE-USD,Harmony
HOT-USD,Holo
BAND-USD,Band Protocol
VIRTUAL-USD,Virtuals Protocol
FLOKI-USD,FLOKI
PI-USD,Pi Network
FLNC-USD,Fluence
